"Date","volume","tnc.conc","tnc.conc_SE","tnc","tnc_SE"
2013-03-07,5,0.193656260081944,0.0207672151257399,0.530725445409617,0.0569136752556405
2013-03-22,5,0.161113617041667,0.0180066497751949,0.827364751324885,0.0924693243625429
2013-04-08,5,0.186832481275,0.00875467620015755,0.462619968460708,0.021677644058258
2013-04-17,5,0.150531867460714,0.0102181403430151,0.321902967197173,0.0218508529199781
2013-05-01,5,0.127281279283333,0.00640058074588695,0.377898693724958,0.0190033531762948
2013-05-16,5,0.130082258010714,0.00864838940913197,0.491436851489237,0.0326726897785447
2013-03-07,10,0.146348609017857,0.011560916291043,0.34134095048005,0.026964480097815
2013-03-22,10,0.13191851436,0.0176191931096306,0.34471602406322,0.0460406806839811
2013-04-08,10,0.152384474479762,0.00859664397438361,1.43016362178413,0.0806814967441192
2013-04-17,10,0.131365667729762,0.0151261693655608,0.372447195148953,0.0428856294868495
2013-05-16,10,0.115913102546429,0.00482892244571001,0.248425549597823,0.0103493710908158
2013-05-01,10,0.126475573393056,0.0142464413948124,0.433393737367224,0.0488182683393939
2013-03-22,15,0.10195576551875,0.0111274155112827,0.528725261604178,0.0577048845373967
2013-04-08,15,0.119451424991667,0.0115231185447849,0.278606426234477,0.0268763212917947
2013-04-17,15,0.118774028617857,0.0156354094772495,0.306080327475671,0.0402924049028444
2013-05-01,15,0.129247896475,0.0117744364541925,2.15720125572005,0.196520251370536
2013-05-16,15,0.135417776817857,0.0119649333521579,0.408021869796729,0.0360510605997257
2013-03-07,15,0.109308295595333,0.016251962424602,0.225650508218619,0.0335497279569503
2013-03-07,20,0.15712642379881,0.00797234030660785,0.593251762981994,0.0301006337931008
2013-03-22,20,0.153246246620238,0.019341108560259,0.962723214726417,0.121504667293079
2013-04-08,20,0.148295242629167,0.0201201983572166,0.296469638451918,0.0402240006273248
2013-04-17,20,0.113092585160714,0.0161436205320752,0.252576624579753,0.0360545404165398
2013-05-01,20,0.110098266626389,0.00663458675773224,2.1671586276372,0.130594262502046
2013-05-16,20,0.11937613239881,0.00953526186603805,0.335935139111881,0.0268330817649077
2013-03-07,25,0.154878406156944,0.0152794947478538,0.307081513912282,0.0302950585263066
2013-03-22,25,0.128675332046548,0.018885364385615,0.442612001850698,0.0649610830875738
2013-04-08,25,0.150649049152381,0.00914674932732233,0.969931989967982,0.0588900150827658
2013-04-17,25,0.123510441629762,0.0089580865888718,0.200622689927384,0.0145509594520696
2013-05-01,25,0.138135056886111,0.0133741939271697,0.248402409923208,0.024050245297458
2013-05-16,25,0.142632587847619,0.00864845740893214,3.10240758872635,0.188112971244079
2013-03-07,35,0.130496566224881,0.0110334220634029,0.328461733003795,0.0277712819329085
2013-03-22,35,0.116101721461905,0.00899431514455423,0.25030590918101,0.0193910150630874
2013-04-08,35,0.143572526147222,0.0103579901860834,0.455911007596317,0.0328915417812437
2013-04-17,35,0.124797996147619,0.0122272895344005,0.761348455504882,0.0745943708183849
2013-05-01,35,0.145151433980952,0.0110712940302693,0.199501900858312,0.0152168266163313
2013-05-16,35,0.173098453921429,0.0156703870750886,0.283517778486962,0.0256665107683548
2013-03-07,1000,0.108387816427381,0.0099690787467042,2.55679059055634,0.235163393601216
2013-03-22,1000,0.0912651706217857,0.0166701857674489,0.223176722386176,0.0407647013181591
2013-04-08,1000,0.132835277039286,0.0127974766195547,0.287015422377457,0.0276513381023086
2013-04-17,1000,0.105347978507143,0.0108998884074614,0.340015806523213,0.035179928465592
2013-05-01,1000,0.129299656457024,0.0121313420661439,0.790100056490657,0.0741299266711788
2013-05-16,1000,0.143022497778571,0.00783561989002441,0.172748435851029,0.00946418291491854
